date,ticker,open,close,change_pct,volume
2026-01-12,LVLU,6.75,11.8433,75.45629629629629,8296937
2026-01-12,OMH,1.0598,1.6675,57.341007737308914,17976903
2026-01-09,NBY,9.87,19.16,94.12360688956434,9720941
2026-01-09,ANPA,49.73,86.85,74.64307259199678,2833010
2026-01-08,CGTL,1.37,2.53,84.67153284671531,26322841
2026-01-08,FLYX.WS,0.7001,1.31,87.11612626767607,473976
2026-01-07,NVVE,2.25,3.57,58.66666666666666,28191111
2026-01-07,SMX,18.15,29.1736,60.736088154269986,2388409
2026-01-06,EMAT,9.0,21.29,136.55555555555554,736330
2026-01-06,SKYQ,0.3395,0.5835,71.8703976435935,233774770
2026-01-02,LVRO,0.5837,1.1,88.45297241733769,115059116
2026-01-02,BNAI,2.5,3.77,50.8,96989583
2026-01-02,NTCL,0.34,0.5301,55.91176470588235,53108895
2026-01-02,PLRZ,8.23,12.75,54.92102065613608,1144480
2026-01-02,SKYQ,0.231,0.4305,86.36363636363636,18040115
2025-12-31,INBS,5.75,9.53,65.7391304347826,108413850
2025-12-31,WTO,0.6142,1.02,66.06968414197331,19787239
2025-12-30,AFJK,45.04,82.58,83.34813499111901,918188
2025-12-30,MENS,2.76,4.22,52.89855072463768,3733856
2025-12-24,AMCI,6.005,9.35,55.703580349708574,26505371
2025-12-23,PCLA,0.186,0.36,93.54838709677419,821965346
2025-12-22,HXHX,0.5199,1.29,148.12463935372188,323488310
2025-12-22,FJET,7.73,31.5,307.503234152652,49859975
2025-12-22,ZVZZT,16.54,30.35,83.4945586457074,96583
2025-12-22,MGRT,7.46,12.44,66.75603217158177,420572
2025-12-19,SOS,1.42,2.2,54.92957746478875,693432
2025-12-19,MIMI,0.28,0.4795,71.24999999999999,123072891
2025-12-19,NBY,3.1,5.3,70.96774193548386,30982010
2025-12-19,IBO,0.43,0.6491,50.95348837209303,1524239
2025-12-19,LAZR,0.21635,0.6044,179.36214467298365,895763104
2025-12-18,ZNB,0.6785,1.02,50.33161385408991,11927864
2025-12-18,AFJK,25.77,52.23,102.67753201396972,1020088
2025-12-17,PCSA,3.35,6.68,99.40298507462686,39585343
2025-12-17,ZVZZT,11.09,21.98,98.1965734896303,151088
2025-12-17,MGRT,4.61,13.05,183.08026030368765,3760560
2025-12-16,VMAR,0.3904,0.976,149.99999999999994,240271110
2025-12-15,AMCI,3.62,7.27,100.82872928176793,103786361
2025-12-15,ARTV,4.09,6.3,54.034229828850854,47770217
2025-12-12,ARBKL,1.69,5.3,213.6094674556213,5136914
2025-12-11,VELO,8.48,13.38,57.78301886792453,4673569
2025-12-11,ATPC,0.1192,0.1799,50.92281879194631,774116817
2025-12-11,ZVZZT,12.1,22.31,84.3801652892562,66307
2025-12-10,ZVZZT,12.1,20.13,66.36363636363636,251467
2025-12-10,BBGI,6.05,16.69,175.86776859504135,45846411
2025-12-09,AFJK,9.68,88.5,814.2561983471074,6728517
2025-12-09,LGHL,4.35,8.05,85.05747126436785,7382308
2025-12-09,JXG,4.94,8.63,74.69635627530364,925175
2025-12-09,OCG,3.33,10.27,208.4084084084084,53659602
2025-12-08,ORKT,0.9411,2.33,147.5826160875571,12132816
2025-12-08,GPCR,45.33,69.98,54.37899845576882,19519994
2025-12-08,TWG,9.51,22.01,131.44058885383808,24251498
2025-12-08,CMCT,4.08,6.68,63.725490196078425,12147925
2025-12-08,WBUY,2.01,4.06,101.99004975124377,19444063
2025-12-05,ZVZZT,12.19,27.49,125.512715340443,123523
2025-12-05,TGL,6.82,25.44,273.0205278592376,25611624
2025-12-04,SMX,62.6,141.0,125.23961661341853,6550636
2025-12-04,ZVZZT,12.11,19.16,58.21635012386458,80108
2025-12-03,ZVZZT,23.53,91.96,290.8202294942626,84289
2025-12-03,KITT,0.76,1.56,105.26315789473684,165100958
2025-12-03,IRBT,2.17,3.39,56.22119815668204,228594893
2025-12-01,FLYE,4.48,15.79,252.45535714285708,18712277
2025-12-01,CNCK,3.64,7.88,116.4835164835165,27353781
2025-11-28,SMX,33.5,61.04,82.2089552238806,22543452
2025-11-28,USARW,1.17,2.01,71.79487179487178,1681333
2025-11-26,KTTA,0.51,1.06,107.84313725490198,159521876
2025-11-26,USARW,0.6072,0.99,63.04347826086958,2505051
2025-11-26,SMX,5.94,17.4,192.92929292929287,22826665
2025-11-26,ZYXI,0.7205,1.59,120.68008327550312,141257520
2025-11-26,ZVZZT,12.1,28.85,138.4297520661157,265111
2025-11-25,ZVZZT,12.12,26.48,118.4818481848185,146311
2025-11-25,KZIA,8.29,12.79,54.28226779252111,1442815
2025-11-24,ZVZZT,12.1,19.27,59.256198347107436,73471
2025-11-24,AEHL,1.31,2.53,93.12977099236639,101730125
2025-11-21,ZVZZT,12.1,29.48,143.63636363636365,115433
2025-11-21,FOXX,2.15,3.54,64.65116279069768,50226622
2025-11-21,PTN,14.62,22.82,56.08755129958961,562164
2025-11-20,VSA,9.07,13.925,53.528114663726576,561168
2025-11-20,EPSM,2.15,3.66,70.2325581395349,24600501
2025-11-19,WSHP,38.0,200.0,426.3157894736843,268914
2025-11-18,LFS,3.85,6.5,68.83116883116884,33048051
2025-11-18,EPSM,1.38,2.72,97.10144927536236,30420973
2025-11-17,ATGL,11.82,21.61,82.82571912013536,865629
2025-11-14,ZVZZT,12.17,21.7,78.30731306491371,166392
2025-11-14,CYCU,4.0675,6.2698,54.14382298709282,34370149
2025-11-14,WSHP,20.02,30.21,50.8991008991009,25701
2025-11-12,PTN,7.25,11.04,52.27586206896551,114268
2025-11-12,LPTX,0.605,2.05,238.84297520661156,785997614
2025-11-11,ZVZZT,12.12,25.1,107.09570957095713,57943
2025-11-11,RDGT,2.12,3.65,72.1698113207547,4578360
2025-11-11,LFS,1.75,11.37,549.7142857142857,37188174
2025-11-10,ZVZZT,12.15,31.96,163.04526748971196,128313
2025-11-10,HKIT,2.22,4.15,86.93693693693693,9165628
2025-11-07,USARW,3.25,6.02,85.23076923076923,718033
2025-11-07,EOSEW,3.31,6.73,103.32326283987916,1271413
2025-11-06,LKSPR,1.0,1.65,64.99999999999999,373271
2025-11-06,MTC,1.56,2.77,77.56410256410255,132072498
2025-11-05,SLDPW,1.266,2.16,70.61611374407583,1394170
2025-11-05,MTC,0.31,2.21,612.9032258064516,337977913
2025-11-05,ZVZZT,12.1,19.81,63.71900826446281,75382
2025-11-05,NNNN,14.4,22.0,52.77777777777778,52859
2025-11-04,ZVZZT,12.11,32.16,165.56564822460774,124830
2025-11-04,DTCK,2.88,5.1,77.08333333333333,14105539
2025-11-03,TGE,1.1701,1.81,54.68763353559526,170152886
2025-11-03,PRLD,1.58,3.98,151.89873417721518,34564958
2025-11-03,DTCK,1.93,3.12,61.65803108808291,7101187
2025-10-30,BQ,7.78,16.97,118.12339331619535,2960474
2025-10-30,INTS,0.7731,1.32,70.74117190531626,1433665255
2025-10-30,ZVZZT,12.11,21.12,74.40132122213049,59177
2025-10-27,CODX,0.5941,1.26,112.08550749032152,1115789031
2025-10-27,DZZ,4.93,8.42,70.79107505070995,5771024
2025-10-24,MAMK,2.7,5.29,95.92592592592591,4853006
2025-10-23,MSAI,0.67,1.35,101.49253731343283,96141024
2025-10-23,SEV,7.2,10.84,50.55555555555556,2771016
2025-10-23,SCNX,0.9216,2.6,182.11805555555557,800934469
2025-10-22,VWAVW,1.2,2.05,70.83333333333333,340728
2025-10-22,BENF,6.7648,11.92,76.20624408703878,42429874
2025-10-22,AGCC,3.82,6.05,58.37696335078534,2125623
2025-10-22,ARMP,3.5,7.05,101.42857142857142,13062640
2025-10-21,AIRE,0.4567,0.7276,59.31683818699366,120494781
2025-10-21,MSN,0.4854,0.7647,57.54017305315205,26082932
2025-10-21,BYND,2.31,3.62,56.709956709956714,2071416458
2025-10-21,RYOJ,4.8698,9.12,87.27668487412214,23618172
2025-10-21,VSEE,0.5807,0.9452,62.769071809884636,263333966
2025-10-21,MCTA,4.59,7.0,52.50544662309369,4218742
2025-10-21,ZVZZT,20.2401,32.12,58.694868108359124,249015
2025-10-20,ANRO,6.75,11.0,62.96296296296296,17764866
2025-10-20,GSIT,7.5,12.97,72.93333333333334,115840659
2025-10-17,CIIT,0.5595,0.8831,57.837354781054515,7096551
2025-10-16,IVF,6.032,11.2,85.67639257294428,27876632
2025-10-16,APLM,20.0,31.98,59.9,273376
2025-10-15,TOVX,0.4412,0.84,90.38984587488667,196646052
2025-10-15,GNPX,23.98,42.0,75.14595496246872,18618789
2025-10-15,ZVZZT,26.47,41.45,56.592368719304886,110792
2025-10-14,TOPP,1.27,2.0,57.48031496062992,3856544
2025-10-14,STI,18.2,28.0,53.846153846153854,9670251
2025-10-14,AWX,2.78,5.05,81.65467625899281,13871026
2025-10-14,AQMS,16.9,29.62,75.26627218934914,34583496
2025-10-13,GTI,3.97,6.03,51.88916876574308,2187079
2025-10-13,STI,11.59,21.625,86.5832614322692,100973792
2025-10-13,AQMS,6.35,9.91,56.062992125984266,26114183
