daygainer_date,daygainer_ticker,control_ticker,control_type,rvol_max,control_change_pct,control_close,price_tier
2025-12-19,LAZR,GOVX,failed_pump,37.157870156670015,-37.025316455696206,0.1592,penny
2025-12-19,LAZR,ADV,normal,3.9840053083371063,0.40659340659339843,0.9137,penny
2025-12-19,LAZR,CTSO,normal,2.2660833647931424,-0.34428794992174955,0.6368,penny
2025-12-19,LAZR,PCLA,normal,2.224331879494131,7.973421926910309,0.13,penny
2025-12-17,MGRT,LHAI,failed_pump,30.899438241908967,-28.538461538461547,9.29,mid
2025-12-17,MGRT,BRSP,normal,2.3454551146934257,-0.3372681281618815,5.91,mid
2025-12-17,MGRT,TACH,normal,68.35395717496746,0.09756097560975402,10.26,mid
2025-12-17,MGRT,HNRG,normal,2.7075364666180897,-14.13690476190477,17.31,mid
2025-12-17,MGRT,WDS,normal,3.049182925424117,-0.9615384615384639,15.45,mid
2025-12-17,PCSA,LHAI,failed_pump,30.899438241908967,-28.538461538461547,9.29,mid
2025-12-17,PCSA,BRSP,normal,2.3454551146934257,-0.3372681281618815,5.91,mid
2025-12-17,PCSA,TACH,normal,68.35395717496746,0.09756097560975402,10.26,mid
2025-12-17,PCSA,HNRG,normal,2.7075364666180897,-14.13690476190477,17.31,mid
2025-12-17,PCSA,WDS,normal,3.049182925424117,-0.9615384615384639,15.45,mid
2025-12-16,VMAR,SRXH,failed_pump,570.0806671320685,-46.92296859597239,0.3769,penny
2025-12-16,VMAR,GITS,failed_pump,10.582204761360423,-28.20560747663552,0.7682,penny
2025-12-16,VMAR,MLEC,normal,2.0970870453336077,-9.583333333333327,0.3255,penny
2025-12-16,VMAR,NMPAR,normal,2.2738471891944383,-6.66666666666666,0.196,penny
2025-12-16,VMAR,QUMSR,normal,11.102210191873166,-0.2726033621081279,0.2195,penny
2025-12-15,AMCI,RADX,failed_pump,2202.7630337154164,-23.580158159597406,10.63,mid
2025-12-15,AMCI,ARBB,failed_pump,51.3034836193124,-16.164053075995163,6.95,mid
2025-12-15,AMCI,OGSP,normal,2.8067885117493474,-0.062460961898808565,10.08,mid
2025-12-15,AMCI,WLACU,normal,3.0831755218418198,7.563025210084036,12.8,mid
2025-12-15,AMCI,ARKR,normal,4.249122926530195,1.0309278350515505,6.86,mid
2025-12-12,ARBKL,PHAR,normal,3.032252074747652,3.9907460960092616,17.98,mid
2025-12-12,ARBKL,MLCI,normal,2.6746584932365374,-1.5568862275448985,8.22,mid
2025-12-12,ARBKL,BBHL,normal,11.70776198633914,-0.325898389095426,16.0874,mid
2025-12-12,ARBKL,GEMI,normal,2.4016007917118607,-6.4401981599433835,13.22,mid
2025-12-12,ARBKL,RMBI,normal,2.9848469122989103,-0.2132196162046989,14.04,mid
2025-12-10,BBGI,ASPCU,failed_pump,23.411605829117367,-25.0,18.75,mid
2025-12-10,BBGI,JFB,failed_pump,5.832567422378354,-23.83886255924171,16.07,mid
2025-12-10,BBGI,ATRA,normal,2.0596512982231245,7.539936102236408,16.83,mid
2025-12-10,BBGI,MBAV,normal,9.433486529429329,0.2863984224611481,10.68,mid
2025-12-10,BBGI,OPBK,normal,4.189154541845102,5.032350826743345,14.61,mid
2025-12-09,LGHL,TGL,failed_pump,2.125983317415259,-11.436619718309855,15.72,mid
2025-12-09,LGHL,ATMV,failed_pump,156.96421420442584,-1.056676272814596,10.3,mid
2025-12-09,LGHL,PLAY,normal,2.7988163629808294,2.7444253859348224,17.97,mid
2025-12-09,LGHL,ASPS,normal,2.7107341820081405,-8.981314044605185,7.55,mid
2025-12-09,LGHL,RENT,normal,2.235452875421567,5.85009140767825,5.79,mid
2025-12-09,OCG,TGL,failed_pump,2.125983317415259,-11.436619718309855,15.72,mid
2021-03-15,OCG,FAMI,failed_pump,33.44416873449131,-20.207253886010363,3696.0,high
2021-03-17,OCG,GABC,normal,2.269945189815578,-3.72867909559699,48.54,high
2021-03-15,OCG,EUFX,normal,7.34460425603499,-1.3469196533145837,42.115,high
2025-12-09,OCG,CPSS,normal,3.257759090084095,5.555555555555541,8.93,mid
2024-04-19,TWG,GTI,failed_pump,5.5273233553776535,-34.91902834008096,385.8,high
2024-10-11,TWG,JTAI,failed_pump,8.020325631408635,-4.083570750237407,22.725,high
2024-10-11,TWG,GLOPpA,normal,3.2368004254384446,-0.23112480739600258,25.9,high
2025-12-08,TWG,QQLV,normal,2.1971300870383437,-0.051037344398339235,24.0877,high
2024-10-11,TWG,SCHQ,normal,3.4179827012208244,0.4190362167015881,33.55,high
2025-12-08,WBUY,HWH,normal,25.53050984506177,5.909090909090904,2.33,low
2025-12-08,WBUY,EPOW,normal,2.0420495596199153,-7.207207207207213,1.03,low
2025-12-08,WBUY,BMHL,normal,5.8558140398433,7.7844311377245585,3.6,low
2025-12-08,WBUY,CPIX,normal,2.3811182068290004,-9.958506224066397,2.17,low
2025-12-08,WBUY,SVCO,normal,2.497437267270764,-5.432098765432094,3.83,low
2025-01-27,ORKT,JG,failed_pump,5102.589886344918,-11.564211807668901,14.53,mid
2025-01-27,ORKT,HMST,normal,2.093521589340018,0.9680542110358145,10.43,mid
2025-12-08,ORKT,EVC,normal,2.114728019844405,5.614035087719287,3.01,low
2025-01-27,ORKT,PAGS,normal,2.0699989925200626,4.1604754829123225,7.01,mid
2025-01-27,ORKT,RELL,normal,2.1910680294418956,-1.4063656550703147,13.32,mid
2022-08-11,TGL,TTOO,failed_pump,11.190041313328985,-12.5,997.5,high
2022-08-11,TGL,DNA,failed_pump,7.279812322304605,5.263157894736851,136.0,high
2022-08-11,TGL,EVLO,normal,2.615235557708611,-2.0338983050847506,57.8,high
2022-08-11,TGL,EWU,normal,2.312764072162958,-0.28855402372555256,31.1,high
2022-08-11,TGL,TUGN,normal,8.885436176308836,-0.7337073802330673,23.0,high
2025-11-26,SMX,INHD,failed_pump,6.06915966063023,-35.58983147672094,5.412,mid
2025-07-25,SMX,RAYA,failed_pump,5.8996310002268935,-38.942307692307686,27.94,high
2024-12-04,SMX,PSET,normal,13.473544876273118,0.08042537885473523,74.29,high
2025-12-04,SMX,FMS,normal,2.022942865799277,-0.9325985587113136,23.37,high
2025-12-04,SMX,USIN,normal,7.97978489050149,-0.04654359780048146,50.8963,high
2025-12-03,KITT,CJMB,failed_pump,14.16010319684174,-32.39001303906892,1.4,low
2025-01-03,KITT,TGL,failed_pump,168.26374174249034,-46.73586451789129,390.0,high
2025-01-03,KITT,DIVG,normal,14.027195323421019,0.6578773895847074,30.5396,high
2025-01-03,KITT,ILCG,normal,2.6112731562065896,1.2531884218697964,91.3,high
2025-01-03,KITT,XEMD,normal,2.069237231292207,-0.22589466175246428,41.96,high
2025-12-01,CNCK,RAAQU,normal,8.755800717975658,0.0,10.5,mid
2025-12-01,CNCK,BCCC,normal,2.197566451230825,-1.180716253443515,17.9357,mid
2025-12-01,CNCK,SPSK,normal,2.1153540231874803,0.3775620280474665,18.61,mid
2025-12-01,CNCK,LEG,normal,5.6151442246204875,8.545454545454541,11.94,mid
2025-12-01,CNCK,FONR,normal,3.859169839049686,1.354240912330729,14.22,mid
2025-12-01,FLYE,RAAQU,normal,8.755800717975658,0.0,10.5,mid
2025-12-01,FLYE,BCCC,normal,2.197566451230825,-1.180716253443515,17.9357,mid
2025-12-01,FLYE,SPSK,normal,2.1153540231874803,0.3775620280474665,18.61,mid
2025-12-01,FLYE,LEG,normal,5.6151442246204875,8.545454545454541,11.94,mid
2025-12-01,FLYE,FONR,normal,3.859169839049686,1.354240912330729,14.22,mid
2025-11-26,KTTA,SPRC,failed_pump,1641.0387164663684,-26.245847176079725,2.22,low
2025-11-26,KTTA,EDTK,normal,3.269823835072452,-4.203869047619039,1.03,low
2025-11-26,KTTA,AACG,normal,2.637256106719098,-6.52173913043478,1.075,low
2025-11-26,KTTA,CRWG,normal,2.1481879855900976,-1.142857142857144,3.46,low
2025-11-26,KTTA,ESGL,normal,6.0353575052521755,3.183023872679048,3.89,low
2025-11-26,ZYXI,SPRC,failed_pump,1641.0387164663684,-26.245847176079725,2.22,low
2025-11-26,ZYXI,EDTK,normal,3.269823835072452,-4.203869047619039,1.03,low
2025-11-26,ZYXI,AACG,normal,2.637256106719098,-6.52173913043478,1.075,low
2025-11-26,ZYXI,CRWG,normal,2.1481879855900976,-1.142857142857144,3.46,low
2025-11-26,ZYXI,ESGL,normal,6.0353575052521755,3.183023872679048,3.89,low
2025-11-24,AEHL,ENLV,failed_pump,1598.349455746419,-36.05015673981191,1.02,low
2025-04-09,AEHL,PHIO,failed_pump,1668.2651676211904,-28.037383177570096,1.54,low
2025-04-04,AEHL,BOSC,normal,3.8612191534564473,-3.8473999676008437,3.5613,low
2025-04-04,AEHL,ULCC,normal,2.0441994800392314,-4.29362880886426,3.455,low
2025-04-04,AEHL,PLG,normal,2.643254669738918,-4.464285714285718,1.07,low
2025-11-19,WSHP,CBRL,normal,2.4105847889281815,0.6224826071036313,27.48,high
2025-11-19,WSHP,CIOpA,normal,3.0908692105750184,-0.10177081213108947,24.54,high
2025-11-19,WSHP,BDVL,normal,2.9418738525031367,-0.4008016032064043,24.85,high
2025-11-19,WSHP,PHXEp,normal,2.1074820643646777,1.1964107676969193,20.3,high
2025-11-19,WSHP,CPSF,normal,3.103204732056149,0.03213622585815183,25.2133,high
2025-09-09,EPSM,CHR,failed_pump,98.05634479170836,6.131386861313873,36.35,high
2025-11-18,EPSM,MVO,failed_pump,9.690488653956688,-38.46153846153846,1.6,low
2025-09-09,EPSM,FCLD,normal,2.6337152373858683,0.44812133746983457,29.14,high
2025-09-09,EPSM,TRML,normal,103.94415617015862,0.04199916001680623,47.64,high
2025-09-09,EPSM,CNEQ,normal,2.0019562620814404,0.812763395544862,33.49,high
2023-11-16,ATGL,NLSP,failed_pump,21.901544401544403,-32.9281073150283,128.0,high
2023-11-16,ATGL,NCPL,failed_pump,5.353357687277319,-17.71428571428571,20.16,high
2025-11-17,ATGL,FLSW,normal,2.1035409606170385,-0.6842904123450504,39.2595,high
2025-11-17,ATGL,WEEI,normal,2.799058823529412,-1.0545538603790927,21.4019,high
2025-11-17,ATGL,ETHV,normal,2.4645286892773113,-3.7467134092900984,43.93,high
2025-11-12,LPTX,SLRX,failed_pump,137.93567366280516,-11.538461538461549,1.15,low
2025-11-12,LPTX,HYFM,normal,2.7730026552918394,-14.285714285714288,1.8,low
2025-11-12,LPTX,CURI,normal,2.5599893137142518,-5.764411027568932,3.76,low
2025-11-12,LPTX,MSW,normal,4.98965881699908,-12.558139534883722,1.88,low
2025-11-12,LPTX,SURG,normal,3.986016056613504,-13.214285714285703,2.43,low
2025-11-11,LFS,CMND,failed_pump,12.188620451805834,-32.03379780610733,18.34,mid
2025-11-11,LFS,AFJK,failed_pump,5.859977132443842,-5.058365758754866,12.2,mid
2025-11-11,LFS,RDNW,normal,2.7407003586122305,2.6156941649899377,5.1,mid
2025-11-11,LFS,CODIpB,normal,4.1500105196717865,-6.533776301218161,16.88,mid
2025-11-11,LFS,PANL,normal,2.244571994241884,0.0,6.29,mid
2025-11-10,HKIT,SLRX,failed_pump,20.596666814381766,-18.69918699186992,2.0,low
2025-11-10,HKIT,BNAI,failed_pump,319.4264767872287,-18.040885860306645,4.811,low
2025-11-10,HKIT,PLUR,normal,37.453596857353304,0.2570694087403544,3.9,low
2025-11-10,HKIT,AMOD,normal,7.73806707900202,0.0,1.07,low
2025-11-10,HKIT,AGEN,normal,2.7031650236311613,5.7788944723618085,4.21,low
2025-11-07,EOSEW,BBN,normal,3.4847688973101514,0.9389671361502356,17.2,mid
2025-11-07,EOSEW,ACVA,normal,2.874334016116462,5.882352941176485,5.4,mid
2025-11-07,EOSEW,NVRI,normal,2.431842961130335,0.4946413849958674,12.19,mid
2025-11-07,EOSEW,SWIM,normal,2.5470371942128684,3.9573820395738166,6.83,mid
2025-11-07,EOSEW,WTIU,normal,3.284172565061765,3.3023735810113553,10.01,mid
2025-11-07,USARW,BBN,normal,3.4847688973101514,0.9389671361502356,17.2,mid
2025-11-07,USARW,ACVA,normal,2.874334016116462,5.882352941176485,5.4,mid
2025-11-07,USARW,NVRI,normal,2.431842961130335,0.4946413849958674,12.19,mid
2025-11-07,USARW,SWIM,normal,2.5470371942128684,3.9573820395738166,6.83,mid
2025-11-07,USARW,WTIU,normal,3.284172565061765,3.3023735810113553,10.01,mid
2022-08-02,MTC,LTRPB,failed_pump,6.150841934193845,-4.145156046814045,58.9699,high
2025-11-06,MTC,SPHL,failed_pump,2.8471525617097178,-9.265285151567037,4.2384,low
